onset	duration	sample_start	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	status	status_description
12.15	0.0002	58320	electrical_stimulation	biphasic	RZ1-RZ2	61-62	6.0 mA	good	n/a
16.2920833333333	0.0002	78202	electrical_stimulation	biphasic	RZ1-RZ2	61-62	6.0 mA	good	n/a
20.61	0.0002	98928	electrical_stimulation	biphasic	RZ1-RZ2	61-62	6.0 mA	good	n/a
25.2158333333333	0.0002	121036	electrical_stimulation	biphasic	RZ1-RZ2	61-62	6.0 mA	good	n/a
28.68625	0.0002	137694	electrical_stimulation	biphasic	RZ1-RZ2	61-62	6.0 mA	good	n/a
31.6608333333333	0.0002	151972	electrical_stimulation	biphasic	RZ1-RZ2	61-62	6.0 mA	good	n/a
36.0745833333333	0.0002	173158	electrical_stimulation	biphasic	RZ1-RZ2	61-62	6.0 mA	good	n/a
38.8252083333333	0.0002	186361	electrical_stimulation	biphasic	RZ1-RZ2	61-62	6.0 mA	good	n/a
41.8958333333333	0.0002	201100	electrical_stimulation	biphasic	RZ1-RZ2	61-62	6.0 mA	good	n/a
44.1825	0.0002	212076	electrical_stimulation	biphasic	RZ1-RZ2	61-62	6.0 mA	good	n/a
46.629375	0.0002	223821	electrical_stimulation	biphasic	RZ1-RZ2	61-62	6.0 mA	good	n/a
50.3716666666667	0.0002	241784	electrical_stimulation	biphasic	RZ1-RZ2	61-62	6.0 mA	good	n/a
66.1239583333333	0.0002	317395	electrical_stimulation	biphasic	RZ2-RZ3	62-63	6.0 mA	good	n/a
70.2660416666667	0.0002	337277	electrical_stimulation	biphasic	RZ2-RZ3	62-63	6.0 mA	good	n/a
74.58375	0.0002	358002	electrical_stimulation	biphasic	RZ2-RZ3	62-63	6.0 mA	good	n/a
79.1897916666667	0.0002	380111	electrical_stimulation	biphasic	RZ2-RZ3	62-63	6.0 mA	good	n/a
82.6441666666667	0.0002	396692	electrical_stimulation	biphasic	RZ2-RZ3	62-63	6.0 mA	good	n/a
85.6345833333333	0.0002	411046	electrical_stimulation	biphasic	RZ2-RZ3	62-63	6.0 mA	good	n/a
90.0485416666667	0.0002	432233	electrical_stimulation	biphasic	RZ2-RZ3	62-63	6.0 mA	good	n/a
92.7991666666667	0.0002	445436	electrical_stimulation	biphasic	RZ2-RZ3	62-63	6.0 mA	good	n/a
95.85375	0.0002	460098	electrical_stimulation	biphasic	RZ2-RZ3	62-63	6.0 mA	good	n/a
98.1564583333333	0.0002	471151	electrical_stimulation	biphasic	RZ2-RZ3	62-63	6.0 mA	good	n/a
100.603333333333	0.0002	482896	electrical_stimulation	biphasic	RZ2-RZ3	62-63	6.0 mA	good	n/a
104.329583333333	0.0002	500782	electrical_stimulation	biphasic	RZ2-RZ3	62-63	6.0 mA	good	n/a
120.13	0.0002	576624	electrical_stimulation	biphasic	RZ3-RZ4	63-64	6.0 mA	good	n/a
124.271875	0.0002	596505	electrical_stimulation	biphasic	RZ3-RZ4	63-64	6.0 mA	good	n/a
128.589791666667	0.0002	617231	electrical_stimulation	biphasic	RZ3-RZ4	63-64	6.0 mA	good	n/a
133.195625	0.0002	639339	electrical_stimulation	biphasic	RZ3-RZ4	63-64	6.0 mA	good	n/a
136.666041666667	0.0002	655997	electrical_stimulation	biphasic	RZ3-RZ4	63-64	6.0 mA	good	n/a
139.640416666667	0.0002	670274	electrical_stimulation	biphasic	RZ3-RZ4	63-64	6.0 mA	good	n/a
144.054375	0.0002	691461	electrical_stimulation	biphasic	RZ3-RZ4	63-64	6.0 mA	good	n/a
146.805208333333	0.0002	704665	electrical_stimulation	biphasic	RZ3-RZ4	63-64	6.0 mA	good	n/a
149.859583333333	0.0002	719326	electrical_stimulation	biphasic	RZ3-RZ4	63-64	6.0 mA	good	n/a
152.162708333333	0.0002	730381	electrical_stimulation	biphasic	RZ3-RZ4	63-64	6.0 mA	good	n/a
154.593541666667	0.0002	742049	electrical_stimulation	biphasic	RZ3-RZ4	63-64	6.0 mA	good	n/a
158.335833333333	0.0002	760012	electrical_stimulation	biphasic	RZ3-RZ4	63-64	6.0 mA	good	n/a
174.136041666667	0.0002	835853	electrical_stimulation	biphasic	RZ4-RZ5	64-65	6.0 mA	good	n/a
178.278125	0.0002	855735	electrical_stimulation	biphasic	RZ4-RZ5	64-65	6.0 mA	good	n/a
182.596041666667	0.0002	876461	electrical_stimulation	biphasic	RZ4-RZ5	64-65	6.0 mA	good	n/a
187.201875	0.0002	898569	electrical_stimulation	biphasic	RZ4-RZ5	64-65	6.0 mA	good	n/a
190.672291666667	0.0002	915227	electrical_stimulation	biphasic	RZ4-RZ5	64-65	6.0 mA	good	n/a
193.646666666667	0.0002	929504	electrical_stimulation	biphasic	RZ4-RZ5	64-65	6.0 mA	good	n/a
198.060625	0.0002	950691	electrical_stimulation	biphasic	RZ4-RZ5	64-65	6.0 mA	good	n/a
200.827291666667	0.0002	963971	electrical_stimulation	biphasic	RZ4-RZ5	64-65	6.0 mA	good	n/a
203.897916666667	0.0002	978710	electrical_stimulation	biphasic	RZ4-RZ5	64-65	6.0 mA	good	n/a
206.184791666667	0.0002	989687	electrical_stimulation	biphasic	RZ4-RZ5	64-65	6.0 mA	good	n/a
208.631458333333	0.0002	1001431	electrical_stimulation	biphasic	RZ4-RZ5	64-65	6.0 mA	good	n/a
212.37375	0.0002	1019394	electrical_stimulation	biphasic	RZ4-RZ5	64-65	6.0 mA	good	n/a
228.126041666667	0.0002	1095005	electrical_stimulation	biphasic	RQ1-RQ2	142-143	6.0 mA	good	n/a
232.268125	0.0002	1114887	electrical_stimulation	biphasic	RQ1-RQ2	142-143	6.0 mA	good	n/a
236.58625	0.0002	1135614	electrical_stimulation	biphasic	RQ1-RQ2	142-143	6.0 mA	good	n/a
241.191875	0.0002	1157721	electrical_stimulation	biphasic	RQ1-RQ2	142-143	6.0 mA	good	n/a
244.662083333333	0.0002	1174378	electrical_stimulation	biphasic	RQ1-RQ2	142-143	6.0 mA	good	n/a
247.636666666667	0.0002	1188656	electrical_stimulation	biphasic	RQ1-RQ2	142-143	6.0 mA	good	n/a
252.050416666667	0.0002	1209842	electrical_stimulation	biphasic	RQ1-RQ2	142-143	6.0 mA	good	n/a
254.801041666667	0.0002	1223045	electrical_stimulation	biphasic	RQ1-RQ2	142-143	6.0 mA	good	n/a
257.855625	0.0002	1237707	electrical_stimulation	biphasic	RQ1-RQ2	142-143	6.0 mA	good	n/a
260.158541666667	0.0002	1248761	electrical_stimulation	biphasic	RQ1-RQ2	142-143	6.0 mA	good	n/a
262.589375	0.0002	1260429	electrical_stimulation	biphasic	RQ1-RQ2	142-143	6.0 mA	good	n/a
266.331666666667	0.0002	1278392	electrical_stimulation	biphasic	RQ1-RQ2	142-143	6.0 mA	good	n/a
282.132083333333	0.0002	1354234	electrical_stimulation	biphasic	RQ2-RQ3	143-144	6.0 mA	good	n/a
286.274166666667	0.0002	1374116	electrical_stimulation	biphasic	RQ2-RQ3	143-144	6.0 mA	good	n/a
290.592083333333	0.0002	1394842	electrical_stimulation	biphasic	RQ2-RQ3	143-144	6.0 mA	good	n/a
295.197916666667	0.0002	1416950	electrical_stimulation	biphasic	RQ2-RQ3	143-144	6.0 mA	good	n/a
298.668333333333	0.0002	1433608	electrical_stimulation	biphasic	RQ2-RQ3	143-144	6.0 mA	good	n/a
301.642708333333	0.0002	1447885	electrical_stimulation	biphasic	RQ2-RQ3	143-144	6.0 mA	good	n/a
306.056875	0.0002	1469073	electrical_stimulation	biphasic	RQ2-RQ3	143-144	6.0 mA	good	n/a
308.8075	0.0002	1482276	electrical_stimulation	biphasic	RQ2-RQ3	143-144	6.0 mA	good	n/a
311.862083333333	0.0002	1496938	electrical_stimulation	biphasic	RQ2-RQ3	143-144	6.0 mA	good	n/a
314.165	0.0002	1507992	electrical_stimulation	biphasic	RQ2-RQ3	143-144	6.0 mA	good	n/a
316.611875	0.0002	1519737	electrical_stimulation	biphasic	RQ2-RQ3	143-144	6.0 mA	good	n/a
320.338125	0.0002	1537623	electrical_stimulation	biphasic	RQ2-RQ3	143-144	6.0 mA	good	n/a
336.138541666667	0.0002	1613465	electrical_stimulation	biphasic	RQ3-RQ4	144-145	6.0 mA	good	n/a
340.280416666667	0.0002	1633346	electrical_stimulation	biphasic	RQ3-RQ4	144-145	6.0 mA	good	n/a
344.598541666667	0.0002	1654073	electrical_stimulation	biphasic	RQ3-RQ4	144-145	6.0 mA	good	n/a
349.204375	0.0002	1676181	electrical_stimulation	biphasic	RQ3-RQ4	144-145	6.0 mA	good	n/a
352.674583333333	0.0002	1692838	electrical_stimulation	biphasic	RQ3-RQ4	144-145	6.0 mA	good	n/a
355.649166666667	0.0002	1707116	electrical_stimulation	biphasic	RQ3-RQ4	144-145	6.0 mA	good	n/a
360.063125	0.0002	1728303	electrical_stimulation	biphasic	RQ3-RQ4	144-145	6.0 mA	good	n/a
362.81375	0.0002	1741506	electrical_stimulation	biphasic	RQ3-RQ4	144-145	6.0 mA	good	n/a
365.868541666667	0.0002	1756169	electrical_stimulation	biphasic	RQ3-RQ4	144-145	6.0 mA	good	n/a
368.171458333333	0.0002	1767223	electrical_stimulation	biphasic	RQ3-RQ4	144-145	6.0 mA	good	n/a
370.618333333333	0.0002	1778968	electrical_stimulation	biphasic	RQ3-RQ4	144-145	6.0 mA	good	n/a
374.344375	0.0002	1796853	electrical_stimulation	biphasic	RQ3-RQ4	144-145	6.0 mA	good	n/a
