onset	duration	sample_start	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	status	status_description
12.12875	0.0002	58219	electrical_stimulation	biphasic	RF1-RF2	1-2	6.0 mA	good	n/a
16.2710416666667	0.0002	78102	electrical_stimulation	biphasic	RF1-RF2	1-2	6.0 mA	good	n/a
20.5891666666667	0.0002	98829	electrical_stimulation	biphasic	RF1-RF2	1-2	6.0 mA	good	n/a
25.1952083333333	0.0002	120938	electrical_stimulation	biphasic	RF1-RF2	1-2	6.0 mA	good	n/a
28.6658333333333	0.0002	137597	electrical_stimulation	biphasic	RF1-RF2	1-2	6.0 mA	good	n/a
31.6404166666667	0.0002	151875	electrical_stimulation	biphasic	RF1-RF2	1-2	6.0 mA	good	n/a
36.0545833333333	0.0002	173063	electrical_stimulation	biphasic	RF1-RF2	1-2	6.0 mA	good	n/a
38.8054166666667	0.0002	186267	electrical_stimulation	biphasic	RF1-RF2	1-2	6.0 mA	good	n/a
41.86	0.0002	200929	electrical_stimulation	biphasic	RF1-RF2	1-2	6.0 mA	good	n/a
44.163125	0.0002	211984	electrical_stimulation	biphasic	RF1-RF2	1-2	6.0 mA	good	n/a
46.5939583333333	0.0002	223652	electrical_stimulation	biphasic	RF1-RF2	1-2	6.0 mA	good	n/a
50.3364583333333	0.0002	241616	electrical_stimulation	biphasic	RF1-RF2	1-2	6.0 mA	good	n/a
66.15375	0.0002	317539	electrical_stimulation	biphasic	RF3-RF4	3-4	6.0 mA	good	n/a
70.2958333333333	0.0002	337421	electrical_stimulation	biphasic	RF3-RF4	3-4	6.0 mA	good	n/a
74.6139583333333	0.0002	358148	electrical_stimulation	biphasic	RF3-RF4	3-4	6.0 mA	good	n/a
79.22	0.0002	380257	electrical_stimulation	biphasic	RF3-RF4	3-4	6.0 mA	good	n/a
82.6904166666667	0.0002	396915	electrical_stimulation	biphasic	RF3-RF4	3-4	6.0 mA	good	n/a
85.6652083333333	0.0002	411194	electrical_stimulation	biphasic	RF3-RF4	3-4	6.0 mA	good	n/a
90.079375	0.0002	432382	electrical_stimulation	biphasic	RF3-RF4	3-4	6.0 mA	good	n/a
92.8302083333333	0.0002	445586	electrical_stimulation	biphasic	RF3-RF4	3-4	6.0 mA	good	n/a
95.8847916666667	0.0002	460248	electrical_stimulation	biphasic	RF3-RF4	3-4	6.0 mA	good	n/a
98.1879166666667	0.0002	471303	electrical_stimulation	biphasic	RF3-RF4	3-4	6.0 mA	good	n/a
100.61875	0.0002	482971	electrical_stimulation	biphasic	RF3-RF4	3-4	6.0 mA	good	n/a
104.36125	0.0002	500935	electrical_stimulation	biphasic	RF3-RF4	3-4	6.0 mA	good	n/a
120.146458333333	0.0002	576704	electrical_stimulation	biphasic	RF7-RF8	7-8	6.0 mA	good	n/a
124.28875	0.0002	596587	electrical_stimulation	biphasic	RF7-RF8	7-8	6.0 mA	good	n/a
128.606666666667	0.0002	617313	electrical_stimulation	biphasic	RF7-RF8	7-8	6.0 mA	good	n/a
133.212708333333	0.0002	639422	electrical_stimulation	biphasic	RF7-RF8	7-8	6.0 mA	good	n/a
136.683125	0.0002	656080	electrical_stimulation	biphasic	RF7-RF8	7-8	6.0 mA	good	n/a
139.657916666667	0.0002	670359	electrical_stimulation	biphasic	RF7-RF8	7-8	6.0 mA	good	n/a
144.071875	0.0002	691546	electrical_stimulation	biphasic	RF7-RF8	7-8	6.0 mA	good	n/a
146.822708333333	0.0002	704750	electrical_stimulation	biphasic	RF7-RF8	7-8	6.0 mA	good	n/a
149.877291666667	0.0002	719412	electrical_stimulation	biphasic	RF7-RF8	7-8	6.0 mA	good	n/a
152.180416666667	0.0002	730467	electrical_stimulation	biphasic	RF7-RF8	7-8	6.0 mA	good	n/a
154.61125	0.0002	742135	electrical_stimulation	biphasic	RF7-RF8	7-8	6.0 mA	good	n/a
158.35375	0.0002	760099	electrical_stimulation	biphasic	RF7-RF8	7-8	6.0 mA	good	n/a
174.155208333333	0.0002	835946	electrical_stimulation	biphasic	RO1-RO2	19-20	6.0 mA	good	n/a
